,,,,,,,,,,,,,,,,,,,,,
Unfinished Left End(inner),719.40,541.60,719.40,541.60,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,3,FMD2-500X560X720-3,36,220236,r33b0036,,PO-0587,JK-22
Unfinished Right End(inner),719.40,541.60,719.40,541.60,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,3,FMD2-500X560X720-3,37,220236,r33b0037,,PO-0587,JK-23
Top,464.20,541.60,464.20,541.60,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,3,FMD2-500X560X720-3,38,220236,,r33f0038,PO-0587,JK-24
Deck(Bottom),464.20,541.60,464.20,541.60,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,3,FMD2-500X560X720-3,39,220236,,r33f0039,PO-0587,JK-25
Drawer Stretcher(member),464.20,99.40,464.20,99.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,3,FMD2-500X560X720-3,40,220236,r33b0040,,PO-0587,JK-26
Door Slab,355.00,495.00,355.00,495.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,3,FMD2-500X560X720-3,41,220236,,,PO-0587,JK-27
Drawer Box Bottom,476.80,415.60,476.80,415.60,1,0,6MM BWR 22291+22291,,,,,KITCHEN,1,3,FMD2-500X560X720-3,42,220236,,,PO-0587,JK-28
Drawer Box Side,499.40,303.00,499.40,303.00,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,3,FMD2-500X560X720-3,43,220236,r33b0043,,PO-0587,JK-29
Drawer Box Back,403.00,303.00,403.00,303.00,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,3,FMD2-500X560X720-3,45,220236,r33b0045,r33f0045,PO-0587,JK-30
Drawer Box Sub Front,403.00,253.00,403.00,253.00,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,3,FMD2-500X560X720-3,46,220236,r33b0046,r33f0046,PO-0587,JK-31
Unfinished Left End(inner),719.40,541.60,719.40,541.60,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,4,FCM-865X560X720-4,53,220236,r33b0053,,PO-0587,JK-32
Unfinished Right End(inner),719.40,541.60,719.40,541.60,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,4,FCM-865X560X720-4,54,220236,r33b0054,,PO-0587,JK-33
Unfinished Back(Back),717.00,862.00,717.00,862.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,4,FCM-865X560X720-4,55,220236,r33b0055,,PO-0587,JK-34
Top,829.20,541.60,829.20,541.60,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,4,FCM-865X560X720-4,56,220236,,r33f0056,PO-0587,JK-35
Deck(Bottom),829.20,541.60,829.20,541.60,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,4,FCM-865X560X720-4,57,220236,,r33f0057,PO-0587,JK-36
Adjustable Shelf,828.20,521.60,828.20,521.60,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,4,FCM-865X560X720-4,58,220236,,,PO-0587,JK-37
Door Slab,715.00,445.00,715.00,445.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,4,FCM-865X560X720-4,59,220236,r33b0059,,PO-0587,JK-38
Door Slab,717.40,340.40,717.40,340.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,4,FCM-865X560X720-4,61,220236,,,PO-0587,JK-39
COUNTER TOP,2399.40,559.40,2399.40,559.40,2,0,16MM BWR PLY,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,5,COUNTER TOP,62,220236,,,PO-0587,JK-40
COUNTER TOP,1499.40,559.40,1499.40,559.40,1,0,16MM BWR PLY,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,6,COUNTER TOP,63,220236,,,PO-0587,JK-41
Unfinished Left End(inner),719.40,559.40,719.40,559.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,7,FM-500X560X720-5,64,220236,r33b0064,,PO-0587,JK-42
Unfinished Right End(inner),719.40,559.40,719.40,559.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,7,FM-500X560X720-5,65,220236,r33b0065,,PO-0587,JK-43
Unfinished Back(Back),696.80,476.80,696.80,476.80,1,0,6MM BWR 22291+22291,,,,,KITCHEN,1,7,FM-500X560X720-5,66,220236,,,PO-0587,JK-44
Top,464.20,559.40,464.20,559.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,7,FM-500X560X720-5,67,220236,r33b0067,r33f0067,PO-0587,JK-45
Deck(Bottom),464.20,559.40,464.20,559.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,7,FM-500X560X720-5,68,220236,r33b0068,r33f0068,PO-0587,JK-46
Adjustable Shelf,463.20,521.40,463.20,521.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,7,FM-500X560X720-5,69,220236,,,PO-0587,JK-47
